emoji,freq,sentiment
:face_with_tears_of_joy:,269,ضحك
:red_heart:,195,فرح
:broken_heart:,180,مُحَطَّم
:angry_face:,127,تشاؤم
:smiling_face_with_heart-eyes:,125,فرح
:pouting_face:,79,ايموشنسالب
:loudly_crying_face:,60,ايموشنسالب
:face_with_steam_from_nose:,58,ايموشنسالب
:blue_heart:,52,فرح
:two_hearts:,49,فرح
:crying_face:,39,ايموشنسالب
:smiling_face_with_smiling_eyes:,37,ايموشنموجب
:sparkles:,33,ايموشنموجب
:OK_hand:,30,ايموشنموجب
:rose:,26,فرح
:purple_heart:,25,فرح
:face_blowing_a_kiss:,24,ايموشنموجب
:yellow_heart:,24,فرح
:cherry_blossom:,24,ايموشنموجب
:worried_face:,23,ايموشنسالب
:grinning_face_with_sweat:,22,ايموشنسالب
:see-no-evil_monkey:,20,ايموشنسالب
:unamused_face:,20,ايموشنسالب
:slightly_smiling_face:,18,ايموشنموجب
:grinning_face:,17,ايموشنموجب
:woman_dancing:,17,ايموشنموجب
:grinning_face_with_smiling_eyes:,17,ايموشنموجب
:smirking_face:,16,ايموشنسالب
:green_heart:,16,فرح
:grinning_face_with_big_eyes:,15,ايموشنموجب
:winking_face:,15,ايموشنموجب
:heart_suit:,14,فرح
